Lower Tier Local Authority,month,October,November,December,Population,log_pop,case_rate,log_case_rate,min,max,precipitation,temperature,wind,humidity,region,East_Midlands,East_of_England,London,North_East,North_West,South_East,South_West,West_Midlands,Yorkshire_and_the_Humber
Derby ,November,0,1,0,3028,3.481155871,391.6,5.970240911,4,10,29.9,7,17,0.84,East Midlands,1,0,0,0,0,0,0,0,0
Derby ,December,0,0,1,3028,3.481155871,249.9,5.521060838,2,7,29.5,5,18,0.86,East Midlands,1,0,0,0,0,0,0,0,0
Ealing ,October,1,0,0,6100,3.785329835,201.9,5.307772525,9,16,61.5,13,13,0.79,London,0,0,1,0,0,0,0,0,0
Ealing ,November,0,1,0,6100,3.785329835,348.8,5.854498692,6,12,72,9,14,0.84,London,0,0,1,0,0,0,0,0,0
Ealing ,December,0,0,1,6100,3.785329835,635.2,6.45393991,3,9,65.1,6,15,0.81,London,0,0,1,0,0,0,0,0,0
East Lindsey ,October,1,0,0,80,1.903089987,141.8,4.954417614,8,15,61.1,11,20,0.87,East Midlands,1,0,0,0,0,0,0,0,0
East Lindsey ,November,0,1,0,80,1.903089987,494,6.202535517,5,11,57.8,8,22,0.88,East Midlands,1,0,0,0,0,0,0,0,0
East Lindsey ,December,0,0,1,80,1.903089987,132.6,4.887337078,2,7,54.9,5,23,0.91,East Midlands,1,0,0,0,0,0,0,0,0
East Suffolk ,October,1,0,0,469,2.671172843,160.1,5.07579862,5,14,38.8,9,17,0.85,East of England,0,1,0,0,0,0,0,0,0
East Suffolk ,November,0,1,0,469,2.671172843,390.8,5.96819592,3,10,34.9,7,17,0.84,East of England,0,1,0,0,0,0,0,0,0
East Suffolk ,December,0,0,1,469,2.671172843,181.6,5.201806466,1,7,31,4,19,0.86,East of England,0,1,0,0,0,0,0,0,0
Eden ,October,1,0,0,25,1.397940009,216,5.375278408,7,14,32,10,15,0.83,North West,0,0,0,0,1,0,0,0,0
Eden ,November,0,1,0,25,1.397940009,344.2,5.841222884,4,10,29.1,7,14,0.84,North West,0,0,0,0,1,0,0,0,0
Eden ,December,0,0,1,25,1.397940009,495.7,6.205970905,2,7,28.7,5,15,0.87,North West,0,0,0,0,1,0,0,0,0
Epping Forest ,October,1,0,0,257,2.409933123,133.6,4.894850261,9,16,61.5,13,13,0.79,East of England,0,1,0,0,0,0,0,0,0
Epping Forest ,November,0,1,0,257,2.409933123,389.4,5.964607093,6,12,72,9,14,0.84,East of England,0,1,0,0,0,0,0,0,0
Epping Forest ,December,0,0,1,257,2.409933123,1071.6,6.976908138,3,9,65.1,6,15,0.81,East of England,0,1,0,0,0,0,0,0,0
Erewash ,October,1,0,0,4099,3.612677918,274.8,5.61604356,8,14,36.1,11,17,0.82,East Midlands,1,0,0,0,0,0,0,0,0
Erewash ,November,0,1,0,4099,3.612677918,365.3,5.900718934,4,10,29.9,7,17,0.84,East Midlands,1,0,0,0,0,0,0,0,0
Erewash ,December,0,0,1,4099,3.612677918,187.2,5.232177564,2,7,29.5,5,18,0.86,East Midlands,1,0,0,0,0,0,0,0,0
Fareham ,October,1,0,0,1567,3.195068996,133.1,4.891100725,8,15,29.2,12.5,11,0.85,South East,0,0,0,0,0,1,0,0,0
Fareham ,November,0,1,0,1567,3.195068996,366.5,5.903998521,5,11,28.4,8,10,0.84,South East,0,0,0,0,0,1,0,0,0
Fareham ,December,0,0,1,1567,3.195068996,269.3,5.595826,3,9,31.4,6,12,0.84,South East,0,0,0,0,0,1,0,0,0
Forest of Dean ,October,1,0,0,381.6,2.581608366,164.5,5.10291057,10,16,51.9,13,12,0.83,South West,0,0,0,0,0,0,1,0,0
Forest of Dean ,November,0,1,0,381.6,2.581608366,411.8,6.020537795,7,11,64,9,12,0.84,South West,0,0,0,0,0,0,1,0,0
Forest of Dean ,December,0,0,1,381.6,2.581608366,251.2,5.526249435,4,8,64.4,6,12,0.83,South West,0,0,0,0,0,0,1,0,0
Gateshead ,October,1,0,0,1403.4,3.147181472,304.4,5.718342626,7,13,33.2,10,13,0.84,North East,0,0,0,1,0,0,0,0,0
Gateshead ,November,0,1,0,1403.4,3.147181472,415.2,6.028760332,4,9,26.6,6,14,0.84,North East,0,0,0,1,0,0,0,0,0
Gateshead ,December,0,0,1,1403.4,3.147181472,226.7,5.423627558,2,7,22.9,4,15,0.86,North East,0,0,0,1,0,0,0,0,0
Guildford ,October,1,0,0,435,2.638489257,119.5,4.783316371,7,15,42.2,11,13,0.84,South East,0,0,0,0,0,1,0,0,0
Guildford ,November,0,1,0,435,2.638489257,416.1,6.030925616,4,11,37.8,7,12,0.84,South East,0,0,0,0,0,1,0,0,0
Guildford ,December,0,0,1,435,2.638489257,377.9,5.93462961,2,8,38.3,5,14,0.88,South East,0,0,0,0,0,1,0,0,0
Harlow ,October,1,0,0,30.54,1.484869033,168.9,5.129306824,9,16,61.5,13,13,0.79,East of England,0,1,0,0,0,0,0,0,0
Harlow ,November,0,1,0,30.54,1.484869033,448.6,6.106131622,6,12,72,9,14,0.84,East of England,0,1,0,0,0,0,0,0,0
Harlow ,December,0,0,1,30.54,1.484869033,987.7,6.895379008,3,9,65.1,6,15,0.81,East of England,0,1,0,0,0,0,0,0,0
Isle of Wight ,October,1,0,0,373,2.571708832,75.4,4.322807275,10,16,11,13,20,0.85,South East,0,0,0,0,0,1,0,0,0
Isle of Wight ,November,0,1,0,373,2.571708832,424.5,6.050912006,7,12,20.1,9,22,0.84,South East,0,0,0,0,0,1,0,0,0
Isle of Wight ,December,0,0,1,373,2.571708832,207.4,5.334649296,4,9,12.7,7,24,0.86,South East,0,0,0,0,0,1,0,0,0
Lancaster ,October,1,0,0,2940,3.46834733,406.7,6.008075813,9,14,54.6,11,21,0.8,North West,0,0,0,0,1,0,0,0,0
Lancaster ,November,0,1,0,2940,3.46834733,382.3,5.946205641,6,10,43.7,8,21,0.84,North West,0,0,0,0,1,0,0,0,0
Lancaster ,December,0,0,1,2940,3.46834733,197.9,5.287761853,4,8,45,6,21,0.86,North West,0,0,0,0,1,0,0,0,0
Leeds ,October,1,0,0,9450,3.975431809,413.3,6.024173722,7,12,40.4,9,16,0.87,Yorkshire and the Humber,,0,0,0,0,0,0,0,1
Leeds ,November,0,1,0,9450,3.975431809,359.6,5.884992303,4,8,43,6,17,0.84,Yorkshire and the Humber,,0,0,0,0,0,0,0,1
Leeds ,December,0,0,1,9450,3.975431809,84.8,4.440295543,4,10,43.8,7,18,0.86,Yorkshire and the Humber,,0,0,0,0,0,0,0,1
Leicester ,October,1,0,0,4494,3.652633068,255.8,5.544395889,8,14,36.5,11,17,0.82,East Midlands,1,0,0,0,0,0,0,0,0
Leicester ,November,0,1,0,4494,3.652633068,471.8,6.156555167,4,10,29.9,7,17,0.84,East Midlands,1,0,0,0,0,0,0,0,0
Leicester ,December,0,0,1,4494,3.652633068,310,5.736572297,2,7,29.5,5,18,0.86,East Midlands,1,0,0,0,0,0,0,0,0
Liverpool ,October,1,0,0,3889,3.589837943,546.5,6.303534308,9,15,58.2,12,17,0.8,North West,0,0,0,0,1,0,0,0,0
Liverpool ,November,0,1,0,3889,3.589837943,1031.3,6.938575421,6,11,67.8,8,18,0.84,North West,0,0,0,0,1,0,0,0,0
Liverpool ,December,0,0,1,3889,3.589837943,203.4,5.315174484,4,8,72.8,6,19,0.83,North West,0,0,0,0,1,0,0,0,0
Merton ,October,1,0,0,5500,3.740362689,123.5,4.816241156,9,16,94,12,15,0.83,London,0,0,1,0,0,0,0,0,0
Merton ,November,0,1,0,5500,3.740362689,317.9,5.761736868,6,12,107.5,8,15,0.84,London,0,0,1,0,0,0,0,0,0
Merton ,December,0,0,1,5500,3.740362689,810,6.697034248,4,10,103.4,5,16,0.87,London,0,0,1,0,0,0,0,0,0
Milton Keynes ,October,1,0,0,6690,3.825426118,106.8,4.670957927,10,15,40.8,12,18,0.81,South East,0,0,0,0,0,1,0,0,0
Milton Keynes ,November,0,1,0,6690,3.825426118,348.7,5.854211954,6,10,46.5,8,19,0.84,South East,0,0,0,0,0,1,0,0,0
Milton Keynes ,December,0,0,1,6690,3.825426118,865.8,6.763653935,3,7,47.8,5,20,0.87,South East,0,0,0,0,0,1,0,0,0
North Tyneside ,October,1,0,0,2326.5,3.366703057,249.1,5.517854422,7,13,33.2,10,13,0.84,North East,0,0,0,1,0,0,0,0,0
North Tyneside ,November,0,1,0,2326.5,3.366703057,436,6.077642243,4,9,26.6,6,14,0.84,North East,0,0,0,1,0,0,0,0,0
North Tyneside ,December,0,0,1,2326.5,3.366703057,164.5,5.10291057,2,7,22.9,4,15,0.86,North East,0,0,0,1,0,0,0,0,0
Nottingham ,October,1,0,0,4073,3.60991441,493.5,6.201522859,5,14,65.6,10,12,0.87,East Midlands,1,0,0,0,0,0,0,0,0
Nottingham ,November,0,1,0,4073,3.60991441,334.5,5.81263688,3,10,70.7,7,13,0.84,East Midlands,1,0,0,0,0,0,0,0,0
Nottingham ,December,0,0,1,4073,3.60991441,233.7,5.454038242,1,4,67.7,4,14,0.88,East Midlands,1,0,0,0,0,0,0,0,0
Portsmouth ,October,1,0,0,5100,3.707570176,174,5.159055299,8,15,29.2,12,11,0.8,South East,0,0,0,0,0,1,0,0,0
Portsmouth ,November,0,1,0,5100,3.707570176,371.9,5.918625001,5,11,28.4,8,10,0.84,South East,0,0,0,0,0,1,0,0,0
Portsmouth ,December,0,0,1,5100,3.707570176,443.5,6.094697802,3,9,31.4,6,12,0.83,South East,0,0,0,0,0,1,0,0,0
Reading ,October,1,0,0,4040,3.606381365,100.1,4.606169686,7,15,43.2,11,13,0.9,South East,0,0,0,0,0,1,0,0,0
Reading ,November,0,1,0,4040,3.606381365,399,5.988961417,4,11,42.6,7,13,0.84,South East,0,0,0,0,0,1,0,0,0
Reading ,December,0,0,1,4040,3.606381365,440.1,6.087001974,2,8,37.8,5,14,0.88,South East,0,0,0,0,0,1,0,0,0
Rother ,October,1,0,0,190,2.278753601,98.2,4.587006215,7,13,49.2,13,23,0.9,South East,0,0,0,0,0,1,0,0,0
Rother ,November,0,1,0,190,2.278753601,499.4,6.213407378,4,9,52.2,10,24,0.84,South East,0,0,0,0,0,1,0,0,0
Rother ,December,0,0,1,190,2.278753601,693.2,6.541318558,2,6,58.1,7,25,0.86,South East,0,0,0,0,0,1,0,0,0
Rugby ,October,1,0,0,310,2.491361694,123,4.812184355,8,14,26.8,11,15,0.83,West Midlands,0,0,0,0,0,0,0,1,0
Rugby ,November,0,1,0,310,2.491361694,450.7,6.11080193,4,10,25.3,7,14,0.84,West Midlands,0,0,0,0,0,0,0,1,0
Rugby ,December,0,0,1,310,2.491361694,365.4,5.900992644,2,8,21.6,5,15,0.88,West Midlands,0,0,0,0,0,0,0,1,0
Salford ,October,1,0,0,2243,3.350829274,573,6.350885717,7,14,46.1,11,15,0.83,North West,0,0,0,0,1,0,0,0,0
Salford ,November,0,1,0,2243,3.350829274,336.6,5.818895282,4,10,35.8,7,15,0.84,North West,0,0,0,0,1,0,0,0,0
Salford ,December,0,0,1,2243,3.350829274,224.5,5.413875707,2,8,37.4,5,15,0.86,North West,0,0,0,0,1,0,0,0,0
Sheffield ,October,1,0,0,4000,3.602059991,466.1,6.144400203,7,13,49.2,10,15,0.88,Yorkshire and the Humber,,0,0,0,0,0,0,0,1
Sheffield ,November,0,1,0,4000,3.602059991,372.3,5.919699981,4,9,52.2,6,18,0.84,Yorkshire and the Humber,,0,0,0,0,0,0,0,1
Sheffield ,December,0,0,1,4000,3.602059991,172.4,5.149817358,2,6,58.1,4,19,0.9,Yorkshire and the Humber,,0,0,0,0,0,0,0,1
South Somerset ,October,1,0,0,162,2.209515015,274.5,5.614951261,6,15,50.1,10,13,0.87,South West,0,0,0,0,0,0,1,0,0
South Somerset ,November,0,1,0,162,2.209515015,403,5.998936562,2,6,44.9,4,13,0.9,South West,0,0,0,0,0,0,1,0,0
South Somerset ,December,0,0,1,162,2.209515015,420.8,6.042157661,2,9,45.2,5,15,0.87,South West,0,0,0,0,0,0,1,0,0
Watford ,October,1,0,0,1200,3.079181246,150.1,5.011301739,8,16,42,12,13,0.81,East of England,0,1,0,0,0,0,0,0,0
Watford ,November,0,1,0,1200,3.079181246,425.9,6.054204577,4,11,37,8,12,0.84,East of England,0,1,0,0,0,0,0,0,0
Watford ,December,0,0,1,1200,3.079181246,719.6,6.578695502,3,8,36,6,14,0.85,East of England,0,1,0,0,0,0,0,0,0
Wigan ,October,1,0,0,1690,3.227886705,572.6,6.350187393,9,15,80,12,21,0.83,North West,0,0,0,0,1,0,0,0,0
Wigan ,November,0,1,0,1690,3.227886705,386.4,5.956873102,6,11,78.6,8,24,0.84,North West,0,0,0,0,1,0,0,0,0
Wigan ,December,0,0,1,1690,3.227886705,255,5.541263545,3,8,96.3,6,25,0.9,North West,0,0,0,0,1,0,0,0,0
Wirral ,October,1,0,0,2058,3.31344537,300.3,5.704781975,9,15,58.2,12,17,0.8,North West,0,0,0,0,1,0,0,0,0
Wirral ,November,0,1,0,2058,3.31344537,440.5,6.087910445,6,11,67.8,8,18,0.84,North West,0,0,0,0,1,0,0,0,0
Wirral ,December,0,0,1,2058,3.31344537,209.6,5.345200952,4,8,72.8,6,19,0.82,North West,0,0,0,0,1,0,0,0,0
Woking ,October,1,0,0,988,2.994756945,101.2,4.617098757,3,15,42.2,13,13,0.9,South East,0,0,0,0,0,1,0,0,0
Woking ,November,0,1,0,988,2.994756945,434.3,6.07373554,4,11,37.8,9,14,0.84,South East,0,0,0,0,0,1,0,0,0
Woking ,December,0,0,1,988,2.994756945,552.6,6.314634412,2,8,38.3,6,15,0.81,South East,0,0,0,0,0,1,0,0,0
Worthing ,October,1,0,0,3004,3.477699928,167.8,5.122772794,9,15,45.4,12,19,0.83,South East,0,0,0,0,0,1,0,0,0
Worthing ,November,0,1,0,3004,3.477699928,477.4,6.168354714,6,11,42.5,9,19,0.84,South East,0,0,0,0,0,1,0,0,0
Worthing ,December,0,0,1,3004,3.477699928,254.1,5.53772789,4,9,43.1,6,20,0.87,South East,0,0,0,0,0,1,0,0,0
York ,October,1,0,0,271.94,2.434473093,306.2,5.724238483,7,14,34.1,10,13,0.83,Yorkshire and the Humber,,0,0,0,0,0,0,0,1
York ,November,0,1,0,271.94,2.434473093,300.7,5.70611309,4,10,34.8,7,14,0.84,Yorkshire and the Humber,,0,0,0,0,0,0,0,1
York ,December,0,0,1,271.94,2.434473093,218.4,5.386328244,2,7,32.1,5,14,0.87,Yorkshire and the Humber,,0,0,0,0,0,0,0,1
Warrington ,October,1,0,0,1070,3.029383778,378.5,5.936216073,9,15,58.2,12,17,0.8,North West,0,0,0,0,1,0,0,0,0
Warrington ,November,0,1,0,1070,3.029383778,147,4.990432587,6,11,67.8,8,18,0.84,North West,0,0,0,0,1,0,0,0,0
Warrington ,December,0,0,1,1070,3.029383778,304.3,5.718014057,4,8,72.8,6,19,0.83,North West,0,0,0,0,1,0,0,0,0
